T,P_count_hint,P_count_any,P_ignorant_hint,P_ignorant_any,P_hint_hint,P_hint_any
17,0.25,0.75,0.25,0.75,0.2715412943986157,0.7284587056013844
19,0.25,0.75,0.25,0.75,0.25,0.75
19,0.25,0.75,0.25,0.75,0.2511113847645968,0.7488886152354032
19,0.25,0.75,0.25,0.7499999999999999,0.2521608943753189,0.7478391056246811
19,0.25,0.75,0.25,0.7499999999999999,0.2531717760436372,0.7468282239563628
19,0.25,0.75,0.25,0.75,0.2541605794333387,0.7458394205666613
19,0.25,0.75,0.25000000000000006,0.75,0.25513671128135,0.7448632887186499
19,0.25,0.75,0.25,0.75,0.2561047964105527,0.7438952035894473
19,0.25,0.75,0.24999999999999997,0.75,0.25706690668349225,0.7429330933165077
19,0.25,0.75,0.25,0.75,0.25802391973927724,0.7419760802607227
19,0.25,0.75,0.25000000000000006,0.75,0.2589761990088383,0.7410238009911616
19,0.25,0.75,0.25,0.75,0.2599238982535883,0.7400761017464117
19,0.25,0.75,0.25,0.7499999999999999,0.260867088862123,0.7391329111378769
19,0.25,0.75,0.25000000000000006,0.75,0.2618058106853036,0.7381941893146964
19,0.25,0.75,0.25000000000000006,0.7499999999999999,0.26274009170047435,0.7372599082995256
19,0.25,0.75,0.25,0.7499999999999999,0.2636699554434442,0.7363300445565558
21,0.25,0.75,0.25,0.75,0.25,0.75
21,0.25,0.75,0.25,0.75,0.2506874130691562,0.7493125869308438
21,0.25,0.75,0.25000000000000006,0.75,0.25133781450314935,0.7486621854968507
21,0.25,0.75,0.25,0.75,0.2519654506892785,0.7480345493107216
21,0.25,0.75,0.24999999999999997,0.75,0.25258050563042506,0.747419494369575
21,0.25,0.75,0.24999999999999997,0.75,0.25318879934437155,0.7468112006556284
21,0.25,0.75,0.25,0.75,0.2537932082735119,0.7462067917264881
21,0.25,0.75,0.24999999999999997,0.75,0.25439502518743623,0.7456049748125638
21,0.25,0.75,0.25,0.75,0.25499479641299305,0.745005203587007
21,0.25,0.75,0.25,0.75,0.2555927445129716,0.7444072554870284
21,0.25,0.75,0.25000000000000006,0.75,0.256188959108014,0.7438110408919861
21,0.25,0.75,0.24999999999999997,0.75,0.2567834772499328,0.7432165227500672
21,0.25,0.75,0.24999999999999997,0.75,0.25737631575471454,0.7426236842452856
21,0.25,0.75,0.24999999999999997,0.7500000000000001,0.25796748379951473,0.7420325162004853
21,0.25,0.75,0.25000000000000006,0.75,0.2585569877171789,0.7414430122828211
23,0.25,0.75,0.25,0.75,0.25,0.75
23,0.25,0.75,0.25,0.75,0.25042341629493897,0.749576583705061
23,0.25,0.75,0.25,0.75,0.25082448161224374,0.7491755183877563
23,0.25,0.75,0.25,0.75,0.2512119300146254,0.7487880699853746
23,0.25,0.75,0.25,0.7500000000000001,0.2515920197732005,0.7484079802267994
23,0.25,0.75,0.24999999999999997,0.7500000000000001,0.25196833930886114,0.7480316606911388
23,0.25,0.75,0.25000000000000006,0.75,0.2523426682734286,0.7476573317265713
23,0.25,0.75,0.25,0.75,0.25271580874961863,0.7472841912503813
23,0.25,0.75,0.24999999999999997,0.7500000000000001,0.2530880999857911,0.7469119000142089
23,0.25,0.75,0.25,0.75,0.2534596796037947,0.7465403203962053
23,0.25,0.75,0.25,0.75,0.2538306020856344,0.7461693979143657
23,0.25,0.75,0.25,0.75,0.25420088890441905,0.745799111095581
23,0.25,0.75,0.25,0.75,0.2545705487786989,0.745429451221301
23,0.25,0.75,0.25,0.75,0.2549395855968851,0.7450604144031149
23,0.25,0.75,0.25,0.75,0.25530800144584653,0.7446919985541536
